idx,id
0,MEX11235
1,UGA12564
2,FIN10764
3,MEX11405
4,MEX11137
5,MEX11134
6,MEX11276
7,NLD11889
8,MEX11091
9,MEX11158
10,MEX11189
11,JPN11048
12,MEX11107
13,MEX11522
14,MEX11181
15,MEX11377
16,MEX11136
17,USA13158
18,NLD11892
19,MEX11217
20,NLD11911
21,MEX11211
22,MEX11221
23,CAN10169
24,JPN11041
25,NLD11894
26,FIN10761
27,NLD11907
28,NLD11903
29,NLD11893
30,NOR12092
31,NZL12037
32,NZL12039
33,NZL12042
34,NZL12045
35,NZL12047
36,NZL12051
37,NZL12053
38,NZL12054
39,NZL12055
40,USA12721
41,USA12819
42,USA12824
43,USA12842
44,USA12907
45,USA12970
46,USA13231
47,USA13262
48,USA13454
49,USA13493
50,USA13673
51,USA13691
52,USA13704
53,USA13707
54,USA13715
55,USA13758
56,USA13799
57,USA13816
58,USA13831
59,USA13834
60,USA13874
61,USA13875
62,USA14167
63,USA14179
64,USA14239
65,USA14439
66,USA14517
67,USA14666
68,USA14940
69,USA14941
70,USA15034
71,USA15155
72,USA15386
73,USA15571
74,USA15642
75,USA15691
76,USA15739
77,USA15857
78,USA16004
79,USA16083
80,USA16410
81,USA17165
82,USA17315
83,USA17427
84,USA17479
85,USA17715
86,USA17757
87,USA17801
88,USA17987
89,USA18111
90,USA18112
91,USA18478
92,USA18761
93,USA18917
94,USA19091
95,USA19099
96,USA19134
97,USA19210
98,USA19339
99,USA19342
100,USA19377
101,USA19400
102,USA19410
103,USA19458
104,USA19463
105,USA19493
106,USA19608
107,USA19611
108,USA20184
109,USA20196
110,USA20213
111,USA20235
112,USA20238
113,USA20239
114,USA20319
115,USA20321
116,USA20326
117,USA20354
118,USA20364
119,USA20393
120,USA20475
121,USA20479
122,USA20532
123,USA20539
124,USA20563
125,USA20564
126,USA20592
127,USA20650
128,USA20674
129,USA20715
130,USA20734
131,USA20741
132,USA20778
133,USA20780
134,USA20781
135,USA20783
136,USA20784
137,USA21018
138,USA21182
139,USA21258
140,USA21278
141,USA21340
142,USA21381
143,USA21428
144,USA21616
145,USA21662
146,USA21670
147,USA21688
148,USA21728
149,USA21898
150,USA21921
151,USA21926
152,USA21981
153,USA22022
154,USA22053
155,USA22151
156,USA22156
157,USA22197
158,USA22252
159,USA22270
160,USA22320
161,USA22375
162,USA22400
163,USA22515
164,USA22529
165,USA22552
166,USA22578
167,USA22586
168,USA22587
169,USA22615
170,USA22622
